A;B;C;Y
-0.1355271788991883;0.27503001410050953;-0.04351831035261475;0.0
-0.21137795006875282;0.4028311354628829;-0.08274765084135596;0.0
-0.1940154134257055;-0.02508343019457328;-0.3007271104690239;0.0
0.10383468745494359;-0.43518024299779184;-0.09444718283842082;0.0
-0.1820396910961396;0.2758906293024355;-0.11170006429243104;0.0
-0.09688732469363279;-0.4116902556246194;-0.37742293525771087;0.0
0.3056509611535507;-0.07303207270789426;0.409689742335819;0.0
0.30528855739910926;-0.15496052812414945;0.3625124351954071;0.0
-0.20531964644817238;0.23016536512229724;-0.1721025120510663;0.0
0.059668068146824044;0.2944809152907551;0.25574409767211986;0.0
0.17784875424925903;0.2960274845572375;0.43110814042576806;0.0
0.15874849918308045;-0.31011896946823014;0.05782627883732723;0.0
-0.12995404211766493;-0.4106621848453897;-0.42565780152693683;0.0
-0.12698056773325872;0.42296468274300747;0.053319915063881534;0.0
-0.06385803952064148;0.35346736789166094;0.1069497315987054;0.0
0.32717728536209423;-0.35204717396687574;0.282626910393995;0.0
-0.12260037282382263;-0.10290362428202021;-0.23959236947554832;0.0
0.13884892531888524;-0.060550788473129294;0.17052659897602043;0.0
-0.12456891826193373;0.26281367844184556;-0.034294201675615345;0.0
-0.10989777034577952;-0.42617948057481353;-0.4048805172275998;0.0
0.2613302563515011;-0.04793866938325401;0.3585398412367961;0.0
0.12473347817682612;0.15392656161156282;0.2717893099047867;0.0
-0.09371076048817224;0.47898983617320084;0.1343352908220481;0.0
-0.043434831565476964;-0.25406138728385025;-0.20876610161929227;0.0
-0.13887908235104096;-0.13039936527403698;-0.2792799305715441;0.0
0.20672644407525392;-0.09036016337169148;0.2537712763961988;0.0
0.26672523365729817;-0.3865014102255142;0.1737597219953741;0.0
0.1153553616106784;0.09553721135911922;0.22470200328618828;0.0
-0.01674954228174716;-0.4122550327666987;-0.2594279526681014;0.0
0.13283227207553547;-0.31504430024190105;0.016759194717256662;0.0
-0.09237907054359296;-0.20882479533598614;-0.25527464089239904;0.0
0.2260320987358361;-0.18568908200716727;0.22800321262739642;0.0
-0.03700359432352787;-0.3217605468161828;-0.23781238063210067;0.0
-0.22038939070065877;0.11121504059338344;-0.2620706585431779;0.0
-0.23304811395836333;0.18563071028014236;-0.2383949843025694;0.0
-0.25496935687013506;-0.005571980855022446;-0.37961238378975526;0.0
-0.07456541136663407;-0.23750019968627994;-0.24529935256511154;0.0
0.020872988710648285;0.29349564855122046;0.19790559737174152;0.0
0.17013739577852227;-0.06383720186368719;0.21485035230729765;0.0
-0.19868396280751194;0.12890371643937704;-0.21995422421125016;0.0
0.14475354394693318;-0.22025375073988096;0.08832462185407942;0.0
-0.053337712041600704;0.3513478304566373;0.12127542381423945;0.0
-0.03427874593865049;0.2980721953218701;0.11908427486206447;0.0
0.20461057294131244;-0.1962656205162917;0.19035490796022764;0.0
-0.27430096500103507;0.32187563559129834;-0.22173638783506855;0.0
0.06843010282991144;0.07537784723584759;0.14394409304041125;0.0
-0.08764839552146803;-0.2593929158584099;-0.27707887322634744;0.0
-0.18028229054689066;-0.2704321463707291;-0.42012950191039083;0.0
-0.0038905608725349483;-0.4188693116078399;-0.24420831706497692;0.0
-0.07816458443226684;-0.4965837064994451;-0.39811066162903286;0.0
0.3304646388854199;-0.34543122558428646;0.2912468939559755;0.0
-0.32725617854548306;0.12598588383008447;-0.4114411293493175;0.0
-0.16787499847611745;-0.07493324640984031;-0.29051277736209913;0.0
0.2824230273902426;-0.03582403395406844;0.39657841361107377;0.0
-0.08043641377021862;0.36519116196846785;0.08914760447545093;0.0
-0.20410177319333594;0.45918667855366807;-0.03992153243621943;0.0
0.07071996629698633;-0.12315259991258512;0.03430057513288638;0.0
0.07738012360614623;-0.19379562689463384;0.003916319443240272;0.0
0.09376267385547521;-0.14221143488890883;0.05747085917676149;0.0
-0.33370691963529475;0.23442026408197342;-0.35923289617068943;0.0
-0.021519494767834345;0.247271247323321;0.10900099188253186;0.0
-0.17703959902766409;0.09295261737878745;-0.20846531817483568;0.0
0.07826800659476421;-0.38206903577883367;-0.10195772211489218;0.0
-0.12801148334679835;0.32289862922766255;-0.005170210728294402;0.0
-0.07717225103771913;-0.42318327567918024;-0.35485836171220575;0.0
-0.10102194720373686;-0.22007702233540793;-0.2744410466158807;0.0
-0.09256695590299308;0.4316079102342174;0.10904926948885661;0.0
0.0279818065326789;-0.3312200970154517;-0.14725241595164007;0.0
0.14530830844417408;-0.4471307203563472;-0.040018426383285684;0.0
0.09176496465664785;0.16645167046807394;0.23024475026776564;0.0
-0.09671458182823259;-0.46893032541702706;-0.40975493230851107;0.0
-0.26448956607253554;0.13870721926167662;-0.31152933307106573;0.0
-0.385804683571796;0.2966184205741651;-0.4007410453292536;0.0
-0.0035707097268578847;-0.48257442323861494;-0.2800036997241986;0.0
-0.19018776000896148;-0.21978330201726087;-0.4059194500787336;0.0
-0.039999373523456005;-0.12451150959376162;-0.1299405989304899;0.0
-0.13340143453068826;0.12803524632574959;-0.12406463486068768;0.0
0.1760472348160496;-0.11023841702662415;0.19715929230667142;0.0
0.02884762786088943;0.40500677555701387;0.2731632644870607;0.0
-0.013463633578503761;0.2832622944740634;0.14138464491966962;0.0
0.33243936042717837;-0.33687047290641503;0.2990360758891158;0.0
-0.07518273763128469;-0.2679796690746647;-0.26356288462255584;0.0
-0.3175775579137869;0.33089364301366525;-0.28049654530415424;0.0
0.006805637167017167;0.3050204372556009;0.1836974836723413;0.0
-0.1321445445141135;-0.22640147659690457;-0.32399141406026316;0.0
0.0013603428144123193;0.04310928731058169;0.02655074567234557;0.0
0.10325615602616015;-0.02986152687239455;0.1354484887189136;0.0
0.2761444320476536;-0.3724762551745244;0.19565094047787096;0.0
0.31910136605423717;-0.42792349110009165;0.22750677425839796;0.0
-0.3074130639725977;0.3458803620450769;-0.2569575394953256;0.0
-0.2413150859937787;0.1314658920542045;-0.2814367363523709;0.0
-0.04337815634517565;0.43159158855556023;0.18166299073442813;0.0
-0.3466143515201153;0.20871196055661426;-0.3929254606314162;0.0
0.1336453203188768;0.35000960993028085;0.3965778629631825;0.0
-0.34719139639508345;0.2575570204103803;-0.3659696986295398;0.0
-0.16297542238769008;-0.3310426734559068;-0.42908326009265735;0.0
0.10055948794691513;-0.10548411551562425;0.08841480112770542;0.0
0.11000077450120384;-0.15282409444233083;0.07540317575217562;0.0
-0.21831302444362144;0.0919416923350013;-0.2699774896079121;0.0
0.12198504953690625;-0.09938318433816885;0.12352108030549401;0.0
0.14618354612142387;0.2595103760826091;0.3635678370355446;0.0
