;name;method_name;knn_k;nmf_r;acc;nmi;ari
0;synthetic_subspace;DGSSC;5;5;0.912;0.8257419060525278;0.7876516920687768
1;synthetic_subspace;DGSSC;10;5;0.892;0.7933334245928115;0.7445978199754184
2;synthetic_subspace;DGSSC;15;5;0.9;0.8049445707221612;0.7614789473413764
3;synthetic_subspace;DGSSC;20;5;0.905;0.8133699905642565;0.7722426628969311
4;synthetic_subspace;DGSSC;25;5;0.899;0.8036411683830987;0.7593135629770416
5;synthetic_subspace;DGSSC;30;5;0.906;0.8121846697148948;0.7738934376781561
6;synthetic_subspace;DGSSC;35;5;0.905;0.8069177999900815;0.7707169873526837
7;synthetic_subspace;DGSSC;40;5;0.9;0.8008354517527048;0.7603616782706529
8;synthetic_subspace;DGSSC;45;5;0.906;0.8146051461310512;0.7743434074757503
9;synthetic_subspace;DGSSC;50;5;0.898;0.7923437124758411;0.7541992879692533
10;synthetic_blobs;DGSSC;5;5;0.9;0.822083264341726;0.7773197873002388
11;synthetic_blobs;DGSSC;10;5;0.895;0.8147413316079193;0.7671105659233826
12;synthetic_blobs;DGSSC;15;5;0.898;0.8195198736401755;0.7733908935648222
13;synthetic_blobs;DGSSC;20;5;0.885;0.8007442966787416;0.7469821734727312
14;synthetic_blobs;DGSSC;25;5;0.889;0.8078709657643459;0.7557106228263261
15;synthetic_blobs;DGSSC;30;5;0.893;0.8106088269060328;0.7624941381439396
16;synthetic_blobs;DGSSC;35;5;0.895;0.8149591807250895;0.7672347107215256
17;synthetic_blobs;DGSSC;40;5;0.887;0.8064773828053127;0.7524261003589539
18;synthetic_blobs;DGSSC;45;5;0.895;0.8140573711357427;0.7668422800474927
19;synthetic_blobs;DGSSC;50;5;0.893;0.8143920462321168;0.7641443433366565
